compost,Study,Year,P,N,N_P_ratio
composted,"Sikora et al., 1982",1982,15,11, 0.73 
composted,"McCoy et al., 1986",1986,13.1,13.6, 1.04 
not composted,"Frossard et al., 1992",1992,,,
not composted,"Pommel, 1995",1995,31.8,,
not composted,"Frossard et al., 1996",1996,31,,
not composted,"Traore et al., 1999",1999,8.2,21.5, 2.62 
not composted,"Guivarch et Morel, 2001",2001,19.5,29.9, 1.53 
not composted,"Zapata et Zaharah, 2002",2002,27.3,,
not composted,"Petersen et al., 2003",2003,33.5,44.5, 1.33 
not composted,"Gavalda et al., 2005",2005,19.1,44.9, 2.35 
not composted,"Mohanty et al., 2006",2006,2.2,15.6, 7.09 
not composted,"El-Motaium et Morel, 2007",2007,8.6,28.3, 3.29 
not composted,"Andres et al., 2011",2011,17.5,41.6, 2.38 
not composted,"Morel, 2009",2009,21.6,,
not composted,"Sui et al., 1999",1999,22,,
not composted,Ajiboye et al. 2004,2004,15,,
not composted,"He et al. ,2010",2010,27,,